fixture_id,team,player,position,minutes,rating,goals,assists
1035037,Burnley,James Trafford,G,90.0,7.5,,
1035037,Burnley,Connor Roberts,D,90.0,6.5,,
1035037,Burnley,Ameen Al-Dakhil,D,90.0,6.3,,
1035037,Burnley,Dara O'Shea,D,90.0,6.5,,
1035037,Burnley,Jordan Beyer,D,74.0,6.9,,
1035037,Burnley,Vitinho,D,90.0,6.2,,
1035037,Burnley,Luca Koleosho,M,61.0,6.5,,
1035037,Burnley,Sander Berge,M,89.0,6.5,,
1035037,Burnley,Josh Cullen,M,90.0,6.3,,
1035037,Burnley,Lyle Foster,M,89.0,6.5,,
1035037,Burnley,Zeki Amdouni,F,61.0,6.9,,
1035037,Burnley,Anass Zaroury,F,33.0,6.3,,
1035037,Burnley,Jacob Bruun Larsen,F,29.0,6.6,,
1035037,Burnley,Manuel Benson,F,16.0,5.9,,
1035037,Burnley,Josh Brownhill,M,8.0,6.3,,
1035037,Burnley,Nathan Redmond,M,8.0,6.3,,
1035037,Burnley,Arijanet Murić,G,,,,
1035037,Burnley,Hjalmar Ekdal,D,,,,
1035037,Burnley,Jack Cork,M,,,,
1035037,Burnley,Jóhann Guðmundsson,M,,,,
1035037,Manchester City,Ederson,G,90.0,7.5,,
1035037,Manchester City,Kyle Walker,D,89.0,6.9,,
1035037,Manchester City,Manuel Akanji,D,90.0,7.2,,
1035037,Manchester City,Nathan Aké,D,79.0,7.5,,
1035037,Manchester City,Rico Lewis,D,79.0,6.7,,
1035037,Manchester City,Kevin De Bruyne,M,23.0,6.9,,
1035037,Manchester City,Rodri,M,90.0,9.3,1.0,1.0
1035037,Manchester City,Bernardo Silva,M,90.0,6.6,,
1035037,Manchester City,Julián Álvarez,M,90.0,8.2,,1.0
1035037,Manchester City,Phil Foden,M,90.0,6.9,,
1035037,Manchester City,Erling Haaland,F,80.0,8.6,2.0,
1035037,Manchester City,Mateo Kovačić,M,67.0,7.7,,
1035037,Manchester City,Joško Gvardiol,D,11.0,7,,
1035037,Manchester City,Aymeric Laporte,D,11.0,7,,
1035037,Manchester City,Cole Palmer,M,10.0,6.3,,
1035037,Manchester City,James McAtee,M,1.0,,,
1035037,Manchester City,Stefan Ortega,G,,,,
1035037,Manchester City,Kalvin Phillips,M,,,,
1035037,Manchester City,Sergio Gómez,M,,,,
1035037,Manchester City,Jack Grealish,M,,,,
1035038,Arsenal,Aaron Ramsdale,G,90.0,6.7,,
1035038,Arsenal,Thomas Partey,D,90.0,7.3,,
1035038,Arsenal,Benjamin White,D,90.0,6.6,,
1035038,Arsenal,William Saliba,D,90.0,7.3,,1.0
1035038,Arsenal,Jurriën Timber,D,50.0,6.6,,
1035038,Arsenal,Martin Ødegaard,M,90.0,7.2,,
1035038,Arsenal,Declan Rice,M,90.0,7.3,,
1035038,Arsenal,Kai Havertz,M,90.0,7.3,,
1035038,Arsenal,Bukayo Saka,F,90.0,8.3,1.0,
